54,Broadway Volkswagen,4.7,326,,,
55,Brooklyn Volkswagen,4.2,612,,,
56,Brunswick Volkswagen,4.4,295,,,
57,Bud Brown Volkswagen,4.7,1293,,,
58,Bud Clary Auburn Volkswagen,4.5,1401,,,
59,Burdick Volkswagen,4.6,457,,,
60,Burke Volkswagen of Cape May County,4.6,96,,,
61,"Burlington Volkswagen, Inc.",4.5,923,,,
62,Byers Volkswagen,4.7,1564,,,
63,Camelback Volkswagen,4.2,1561,,,
64,Campbell Volkswagen of Edmonds,4.6,739,,,
65,Capistrano Volkswagen,4.6,763,,,
66,Capital Volkswagen,4.7,639,,,
67,Capitol Volkswagen,4.3,740,,,
68,Cardinale Volkswagen,3.9,283,,,
69,CardinaleWay Volkswagen,3.6,442,,,
70,Carolina Volkswagen,4.3,846,,,
71,Carousel Motors,4.3,661,,,
72,Carter Volkswagen,4.4,359,,,
73,Casey Volkswagen,4.3,1361,,,
74,Castle Volkswagen of Schaumburg,4.5,1243,,,
75,Central Valley Volkswagen,4.6,494,,,
76,Chapman Volkswagen,4.2,736,,,
77,Chapman Volkswagen,4.4,654,,,
78,Checkered Flag Volkswagen,4.8,2544,,,
79,Cherry Hill Volkswagen,4.4,690,,,
80,Chico Volkswagen,4.3,322,,,
81,Ciocca Volkswagen of Allentown,4.4,814,,,
82,Ciocca Volkswagen of Flemington,4.8,329,,,
83,Ciocca Volkswagen of State College,4.5,388,,,
84,City Volkswagen of Chicago,4.6,2095,,,
85,City Volkswagen of Evanston,4.4,1584,,,
86,City Volkswagen of Highland,4.4,726,,,
87,Classic Volkswagen,4.8,432,,,
88,Classic Volkswagen of Gastonia,4.7,712,,,
89,Clay Cooley VW of Park Cities,4.2,1597,,,
90,Clay Cooley VW of Richardson,4.3,2108,,,
91,CMA's Valley Volkswagen,4.7,401,,,
92,Coachella Valley Volkswagen,4.3,659,,,
93,Coastal Volkswagen,4.7,868,,,
94,Cochran Volkswagen,4,634,,,
95,Cochran Volkswagen of Wexford,4.3,485,,,
96,Colonial Volkswagen,4.6,1288,,,
97,Colonial Volkswagen of Medford,4.7,1907,,,
98,"Colonial Volkswagen, Inc.",4.4,485,,,
99,Commonwealth Volkswagen,4.3,298,,,
100,Community Volkswagen of Santa Maria,4.5,247,,,
101,Compass Volkswagen,4.4,115,,,
102,Cooley Motors Corp.,4.5,127,,,
103,Covina Volkswagen,4.3,489,,,
104,Crain Volkswagen of Fayetteville,4.1,433,,,
105,Crestmont Volkswagen,4.7,305,,,
106,Crown Volkswagen,4.4,113,,,
107,Crown Volkswagen,4.6,307,,,
108,"Curran Volkswagen, Inc.",4.4,343,,,
109,"Dan Wilder Volkswagen, Inc.",4.5,44,,,
110,DARCARS Volkswagen,4,315,,,
111,"Darling's, Inc.",4.6,823,,,
112,Dave Syverson VW of Albert Lea,4.6,22,,,
113,Deel Volkswagen Coral Gables,4.5,1160,,,
114,DeMontrond Automotive Group Inc.,3.7,496,,,
115,DeMontrond Volkswagen of Conroe,4.6,1293,,,
116,Dick Hannah Volkswagen,4.6,1323,,,
117,Dick Hannahs Volkswagen of Portland,4.4,1206,,,
118,Diehl Volkswagen of Butler,4.7,222,,,
119,Dirito Bros Walnut Creek Volkswagen,4.6,1290,,,
120,Dixon Volkswagen,4.3,51,,,
121,Don Jacobs Volkswagen,4.5,488,,,
122,Don Thornton Volkswagen of Tulsa,4.4,470,,,
123,Doral Volkswagen,4.6,1896,,,
124,Dothan Volkswagen,4.3,396,,,
125,Douglas Volkswagen of Summit,4.7,1245,,,
126,Douglass Volkswagen,4.5,299,,,
127,"D-Patrick, Inc.",4.5,1135,,,
128,Dreyer & Reinbold of Greenwood,4.3,249,,,
129,Dublin Volkswagen,4.2,639,,,
130,East Coast VW of Myrtle Beach,4.7,172,,,
131,East Hills Volkswagen of Sayville,4.6,306,,,
132,Eastside Volkswagen,4.4,504,,,
133,"Ed Carroll Motor Co., Inc.",4.6,196,,,
134,Eddy's Volkswagen of Wichita,4,734,,,
135,Eich Volkswagen,4.6,551,,,
136,Elgin Volkswagen,4.4,542,,,
137,Elk Grove Volkswagen,4.5,375,,,
138,Emich Volkswagen,4.5,2418,,,
139,Emich Volkswagen of Boulder,4.5,96,,,
140,Evans Volkswagen,4.7,417,,,
141,Everett Volkswagen of Rogers,4.9,93,,,
142,Executive Volkswagen of North Haven,4.5,531,,,
143,Fairfax Volkswagen,3.9,753,,,
144,Fairfield Volkswagen,4,57,,,
145,Fairfield Volkswagen,4.7,1133,,,
146,Fairway Volkswagen,4.2,100,,,
147,Falcone Volkswagen,4.7,195,,,
148,Family Volkswagen of Burleson,5,359,,,
149,"Fathers & Sons, Inc.",4.4,278,,,
150,Faulkner Volkswagen Mechanicsburg,4.6,1035,,,
151,Fiesta Volkswagen,4.4,728,,,
152,Findlay North Volkswagen,4.5,1197,,,
153,Findlay Volkswagen,4.4,512,,,
154,Findlay Volkswagen,4.5,1390,,,
155,Findlay Volkswagen,4.6,315,,,
156,Fiore Volkswagen,4.4,175,,,
157,Fitzgerald Volkswagen,4.4,293,,,
158,Fitzgerald Volkswagen,4.4,185,,,
159,Flagship Volkswagen,4.1,291,,,
160,Flow Volkswagen of Asheville,4.4,454,,,
161,Flow Volkswagen of Burlington,4.7,468,,,
162,Flow Volkswagen of Charlottesville,4.6,377,,,
163,Flow Volkswagen of Durham,4.6,1046,,,
164,Flow Volkswagen of Greensboro,4.3,477,,,
165,Flow Volkswagen of Wilmington,4.8,1211,,,
166,Flow Volkswagen of Winston-Salem,4.6,450,,,
167,Fowler Volkswagen of Norman,4.3,854,,,
168,Fox Valley Volkswagen,4.7,1052,,,
169,Fox Volkswagen,4.6,756,,,
170,Frank Boucher Volkswagen,4.3,230,,,
171,Frank Boucher VW of Janesville,4.6,378,,,
172,Fred Beans Volkswagen,4.5,657,,,
173,Fred Beans Volkswagen of Doylestown,4.6,333,,,
174,Fremont Volkswagen,4.6,308,,,
175,Galpin VW of San Fernando Valley,4.2,906,,,
176,Garcia Volkswagen of Santa Fe,4,184,,,
177,Garlyn Shelton Volkswagen,4.2,357,,,
178,Garnet Volkswagen of West Chester,4.6,534,,,
179,Garvey Volkswagen of Queensbury,4.6,396,,,
180,"Gene Langan Volkswagen, Inc.",4.9,762,,,
181,Gene Messer Volkswagen,4.5,1516,,,
182,Gengras Volkswagen of Plainville,4.6,951,,,
183,"Gensinger Motors, Inc.",4,462,,,
184,Gerald Jones Volkswagen,4,347,,,
185,Germain Volkswagen of Columbus,4.5,1161,,,
186,Gervais Volkswagen of Lowell,4.3,263,,,
187,Gezon Volkswagen,3.2,16,,,
188,Glenwood Springs Volkswagen,4.2,207,,,
189,Gorman-McCracken Volkswagen,4.3,818,,,
190,Gossett Volkswagen,4,313,,,
191,Gossett Volkswagen of Germantown,4.1,376,,,
192,Graham Automotive,3.7,55,,,
193,Grand Junction Volkswagen,4.5,485,,,
194,Greeley Volkswagen,4.8,912,,,
195,Green Volkswagen of Springfield,4.6,363,,,
196,Gunther Volkswagen,4.5,3677,,,
197,Gunther Volkswagen Daytona Beach,4.4,1591,,,
198,Gunther Volkswagen of Coconut Creek,4.4,4238,,,
199,Gunther Volkswagen of Delray Beach,4.4,3233,,,
200,Gurley-Leep Volkswagen of Michiana,3.4,10,,,
201,Gurnee Volkswagen,3.9,1233,,,
202,Halbinsel Volkswagen,3.9,46,,,
203,Hall Volkswagen,4.5,318,,,
204,Hamilton Volkswagen,4.2,342,,,
205,Hanover Volkswagen,4.6,279,,,
206,Hansel Volkswagen of Santa Rosa,4.1,248,,,
207,Harper Volkswagen of Knoxville,4.7,2231,,,
208,Harte Volkswagen of Meriden,4.6,218,,,
209,Haselwood Volkswagen of Bremerton,4.2,468,,,
210,Hawk Volkswagen of Joliet,4.6,1290,,,
211,Hawk Volkswagen of Monroeville,4.6,137,,,
212,Hendrick Volkswagen Frisco,4.6,3845,,,
213,Hendrick Volkswagen of Concord,4.7,2418,,,
214,Herb Easley Volkswagen,4.3,143,,,
215,Heritage Volkswagen Catonsville,4.5,1315,,,
216,Heritage Volkswagen Parkville,4.5,1151,,,
217,"Heritage Volkswagen, Inc.",4.5,2506,,,
218,"Herman Cook Volkswagen, Inc.",4.5,316,,,
219,Herzog Meier Volkswagen,4.6,1576,,,
220,Hewlett Volkswagen,4.4,953,,,
221,Hiley Volkswagen of Arlington,4.3,1088,,,
222,Hiley Volkswagen of Huntsville,4.6,878,,,
223,"Hillcrest Volkswagen, Inc.",4.4,178,,,
224,Honolulu Volkswagen,4.6,1032,,,
225,Hoy Volkswagen of El Paso,4.4,601,,,
226,Hudson Valley Volkswagen,4.5,515,,,
227,Ide Volkswagen of East Rochester,4.2,349,,,
228,Imperial Valley Volkswagen,4.4,109,,,
229,Island Volkswagen,4.7,1181,,,
230,"J. Bertolet, Inc.",4.7,195,,,
231,Jack Daniels Volkswagen,4.5,1686,,,
232,Jack Ingram VW of Montgomery,4.5,1082,,,
233,Jack Metzer Volkswagen,4.4,335,,,
234,Jeff D'Ambrosio Volkswagen,4.7,3578,,,
235,"Jennings Volkswagen, Inc.",4.7,997,,,
236,Jim Ellis Volkswagen of Chamblee,4.7,2720,,,
237,Jim Ellis Volkswagen of Kennesaw,4.6,2313,,,
238,"Joe Heidt Motors, Corp.",4.1,460,,,
239,Joe Holland Volkswagen,4.7,169,,,
240,Joe Machens Volkswagen of Columbia,4.5,849,,,
241,"Joe Pecheles Volkswagen, Inc.",4.8,626,,,
242,Joseph Volkswagen of Cincinnati,4.7,265,,,
243,Kalispell Volkswagen,4.7,265,,,
244,Karen Radley Volkswagen,4.6,766,,,
245,KarMart Volkswagen,4.5,299,,,
246,KarMART Volkswagen of Maui,4.4,820,,,
247,Keffer Volkswagen,4.3,594,,,
248,Kelly Volkswagen,4.7,2610,,,
249,Kelly Volkswagen,4.3,140,,,
250,Kempthorn Volkswagen,4.8,372,,,
251,Ken Ganley Volkswagen Bedford,4.4,1040,,,
252,Ken Ganley Volkswagen North Olmsted,4.7,1119,,,
253,Ken Garff Volkswagen,4.3,1938,,,
254,Ken Garff Volkswagen Gilbert,4.5,1469,,,
255,Kerry Volkswagen,4.3,379,,,
256,Killeen Volkswagen,4.3,922,,,
257,King Volkswagen,4,857,,,
258,Kings Volkswagen,4.6,648,,,
259,Koch 33 Volkswagen of Easton,4.7,1146,,,
260,"Kocourek Wausau Imports, Inc.",4.4,570,,,
261,Kuhn Volkswagen,4.2,1424,,,
262,Lafayette Volkswagen,4.5,442,,,
263,LaFontaine Volkswagen of Dearborn,4.1,323,,,
264,LaFontaine Volkswagen of Livonia,4.5,545,,,
265,Lakeland Volkswagen,4.5,1458,,,
266,Larry H. Miller Volkswagen Avondale,4.3,1844,,,
267,Larry H. Miller Volkswagen Lakewood,4.3,1735,,,
268,Larry H. Miller Volkswagen Tucson,4.4,1241,,,
269,Larry Roesch VW of Bensenville,4.7,956,,,
270,Leesburg Volkswagen,4.5,997,,,
271,"Legend Autorama, Ltd.",4.6,447,,,
272,Leith Volkswagen,4.6,1499,,,
273,Leith Volkswagen of Raleigh,4.6,1624,,,
274,Lewisville Volkswagen,4.4,1097,,,
275,Lia Volkswagen,4.3,183,,,
276,Liberty Import Center,4.1,535,,,
277,Liberty Volkswagen,4.5,187,,,
278,Lindsay Volkswagen of Dulles,4.7,3017,,,
279,Lindsay Volkswagen of Manassas,4.9,579,,,
280,Lithia Volkswagen of Des Moines,4.1,1370,,,
281,Lithia Volkswagen of Reno,4.6,1060,,,
282,Lokey Volkswagen,4.2,1604,,,
283,Long-Lewis Volkswagen of the Shoals,4.3,130,,,
284,Lou Bachrodt Volkswagen,4.5,453,,,
285,Low Country Volkswagen,4.7,1626,,,
286,Loyalty Volkswagen,4.5,836,,,
287,Lunde's Peoria Volkswagen,4.7,1729,,,
288,Luther Brookdale Volkswagen,4.4,499,,,
289,Luther Burnsville Volkswagen,4.7,997,,,
290,Luther West Side Volkswagen,4.5,1313,,,
291,Mac Volkswagen,4.6,191,,,
292,MAG Volkswagen of Dublin,4.7,1298,,,
293,Maguire Volkswagen,4.4,165,,,
294,Mankato Volkswagen,4.8,222,,,
295,Maple Hill Volkswagen,3.8,65,,,
296,Mastria Volkswagen of Raynham,4.7,1206,,,
297,Matthews Volkswagen of Vestal,4.3,272,,,
298,McDaniels Volkswagen,4.3,475,,,
299,McDonald Volkswagen,4.6,1840,,,
300,McGrath Volkswagen of Dubuque,4.4,693,,,
301,McGrath Volkswagen of Marion,4.5,881,,,
302,McKenna Motors Cerritos,3.9,554,,,
303,McKenna Volkswagen,4.3,533,,,
304,McLarty VW of North Little Rock,4.6,1102,,,
305,Medford Volkswagen,4.4,514,,,
306,Merced Volkswagen,4,395,,,
307,Midlands Volkswagen of Columbia,4.3,772,,,
308,Mike Maroone VW N Colorado Springs,4.4,1149,,,
309,"Minuteman Volkswagen, Inc.",4.6,505,,,
310,Mission Bay Volkswagen,4.4,150,,,
311,Missoula Volkswagen,4.5,129,,,
312,Mitchell Volkswagen,4.7,772,,,
313,"Moffitt Volkswagen, Inc.",4.2,301,,,
314,Mohegan Lake Volkswagen,4.5,512,,,
315,Molle Volkswagen,4.4,429,,,
316,Momentum Volkswagen,4.4,2033,,,
317,Montpelier Volkswagen,4.7,403,,,
318,Morong Brunswick,4.3,127,,,
319,Morong Falmouth Volkswagen,4.2,323,,,
320,Moses Volkswagen of Huntington,4.6,423,,,
321,Moss Bros. Volkswagen of Moreno Val,4.3,736,,,
322,Mossy Volkswagen,4.3,542,,,
323,Muller Volkswagen,4.7,382,,,
324,Murdock Volkswagen of Logan,4.7,1951,,,
325,Nalley Volkswagen of Alpharetta,4.4,1947,,,
326,Napleton's Volkswagen of Orlando,4.6,4076,,,
327,Napleton's Volkswagen of Sanford,4.7,3512,,,
328,Napleton's Volkswagen of Urbana,4.6,2839,,,
329,National City Volkswagen,4.1,156,,,
330,Neftin Volkswagen,4.5,247,,,
331,"Neil Huffman Volkswagen, Inc.",4.4,530,,,
332,Nemer Volkswagen,4.5,1271,,,
333,New Century Volkswagen,4.3,1517,,,
334,New Motors Volkswagen,4.9,396,,,
335,Niello Volkswagen,4.6,1251,,,
336,Norm Reeves Volkswagen Superstore,4.6,994,,,
337,Norm Reeves VW Port Charlotte,4.6,1192,,,
338,North Park Volkswagen,4.7,1391,,,
339,North Penn Volkswagen,4.6,679,,,
340,Northampton Volkswagen,4.4,786,,,
341,Northtown Volkswagen,4.5,1001,,,
342,Northtowne Volkswagen,4.3,363,,,
343,"Noyes Volkswagen, Inc.",4.4,207,,,
344,Nucar Volkswagen of Norwood,4.5,955,,,
345,Nucar Volkswagen of Tilton,4.5,148,,,
346,Nye Volkswagen of Rome,4.8,459,,,
347,O'Connor Volkswagen,4.3,100,,,
348,Oklahoma City Volkswagen,4.4,1209,,,
349,O'Meara Volkswagen of Thornton,4,1229,,,
350,Onion Creek Volkswagen,4.1,1429,,,
351,Ontario Volkswagen,4.3,774,,,
352,Open Road Volkswagen Manhattan,4.6,987,,,
353,Open Road Volkswagen of Bridgewater,4.2,686,,,
354,Orlando Volkswagen North,4.4,1409,,,
355,Orlando Volkswagen South,4.3,2214,,,
356,Orr Volkswagen of Texarkana,4.1,364,,,
357,O'Steen Volkswagen,4.6,1065,,,
358,O'Steen Volkswagen of Valdosta,4.5,227,,,
359,Ourisman Volkswagen of Bethesda,4.4,380,,,
360,Ourisman Volkswagen of Laurel,4.4,1306,,,
361,Ourisman Volkswagen of Rockville,4.4,719,,,
362,Ourisman Volkswagen of Waldorf,4,326,,,
363,Overturf Volkswagen,4.4,571,,,
364,Pacific Volkswagen,4.4,1061,,,
365,Palmetto57 Volkswagen,4.5,2448,,,
366,Paramount Volkswagen of Hickory,4.7,549,,,
367,Patrick Motors,4.5,609,,,
368,Patterson Volkswagen of Tyler,3.9,399,,,
369,Paul Miller VW of Bernardsville,4.7,933,,,
370,Payne Brownsville Volkswagen,3.4,153,,,
371,Payne Mission Volkswagen,4.4,1091,,,
372,Pete Moore Imports,4.4,602,,,
373,Piazza Volkswagen of Ardmore,4.2,399,,,
374,Piazza Volkswagen of Langhorne,4.2,269,,,
375,Pignataro Volkswagen,4.3,511,,,
376,Pioneer Volkswagen of Parkersburg,3.9,124,,,
377,Platinum Volkswagen,4.6,879,,,
378,Pohanka Volkswagen ofRitchieStation,4.4,929,,,
379,Post Falls Volkswagen,4.4,400,,,
380,Prestige Imports,3.5,101,,,
381,Prestige Volkswagen,4.2,589,,,
382,Prestige Volkswagen,4.5,517,,,
383,Prestige Volkswagen of Stamford,4,461,,,
384,Principle Volkswagen Grapevine,4.5,2302,,,
385,Puente Hills Volkswagen,4.2,429,,,
386,Pugi Volkswagen,4.1,539,,,
387,Queensboro Volkswagen,4.1,596,,,
388,Quirk Volkswagen,4.4,591,,,
389,Quirk Volkswagen NH,4.5,499,,,
390,Ray Brandt Volkswagen Westbank,4.5,518,,,
391,Reydel Volkswagen of Edison,4.7,1122,,,
392,Reydel Volkswagen of Linden,4.7,337,,,
393,Rick Case Volkswagen Weston,4.4,3177,,,
394,Riverhead Bay Volkswagen,4.3,163,,,
395,Riverside Volkswagen,4.7,1829,,,
396,Rochester Volkswagen,4.7,385,,,
397,Rochester Volkswagen,4.7,103,,,
398,Romano Volkswagen of Fayetteville,4.5,321,,,
399,Romeo Volkswagen of Kingston,4.6,613,,,
400,Rowe Volkswagen,4.6,231,,,
401,Royal Volkswagen,4.7,1444,,,
402,Royal Volkswagen of Bloomington,4.1,122,,,
403,Rudolph Volkswagen of El Paso,4.2,436,,,
404,Rusty Wallis Volkswagen,4.5,1364,,,
405,Safford Brown VW West Richmond,4.4,777,,,
406,Safford VW of Fredericksburg,4.4,1030,,,
407,Schmelz Countryside Volkswagen,4.7,1801,,,
408,Schukei Volkswagen,4.6,148,,,
409,"Schumacher Automotive, Inc.",4.7,1672,,,
410,"Schumacher Volkswagen, Inc.",4.6,1383,,,
411,Schworer Volkswagen,4.3,311,,,
412,Scott Volkswagen,4.6,684,,,
413,Seacoast Volkswagen,4.7,863,,,
414,Seaside Volkswagen,3.6,103,,,
415,Sendell Volkswagen,4.7,283,,,
416,Serra Volkswagen,4.4,790,,,
417,Serra Volkswagen of Traverse City,4.8,267,,,
418,Serramonte Volkswagen,4.5,1078,,,
419,Shearer VW of South Burlington,4.8,1492,,,
420,Sheehy Volkswagen Hagerstown,4.4,271,,,
421,Sheehy Volkswagen of Springfield,4.5,1741,,,
422,Shrewsbury Volkswagen,4.7,478,,,
423,"Sierra Volkswagen, Inc.",4.2,145,,,
424,Silko Volkswagen of Brockton,4.3,353,,,
425,"Sisbarro Autoworld, Inc.",4.4,487,,,
426,Smith Volkswagen,4.3,698,,,
427,South Motors Volkswagen,4.1,1037,,,
428,Southern Team Volkswagen of Roanoke,4.4,215,,,
429,Southern Volkswagen Greenbrier,4.2,1123,,,
430,Southpoint Volkswagen,4.7,1349,,,
431,Southwest Volkswagen,4.5,369,,,
432,Southwest Volkswagen of Weatherford,4.7,604,,,
433,Speedcraft Volkswagen,4.4,391,,,
434,Spitzer Volkswagen,4.6,346,,,
435,Sport Durst Volkswagen of Goldsboro,4.5,646,,,
436,Sport Durst VW of Jacksonville,4.2,339,,,
437,Steet Ponte Volkswagen,4.5,363,,,
438,Steve Hahn Volkswagen,4.4,194,,,
439,Steve White Volkswagen,4.7,2600,,,
440,Stevens Creek Volkswagen,4.2,997,,,
441,Stevens Point Volkswagen,4.8,325,,,
442,"Stohlman Volkswagen, Inc.",4.5,1590,,,
443,Stokes Volkswagen,4.5,1862,,,
444,Stone Mountain Volkswagen,4.6,2637,,,
445,Street Volkswagen of Amarillo,4.6,1345,,,
446,"Strong Volkswagen, Inc.",4.4,6542,,,
447,Suburban Volkswagen of Troy,4.4,750,,,
448,Suburban VW of Farmington Hills,4.4,576,,,
449,Sunnyvale Volkswagen,4.2,966,,,
450,Sunrise Volkswagen of Fort Pierce,4.7,498,,,
451,"Sunrise Volkswagen, Inc.",4.5,1234,,,
452,Sunset Motors Incorp,3.6,154,,,
453,Sunset Volkswagen of Sarasota,4.5,467,,,
454,Suntrup Volkswagen,4.3,737,,,
455,Sutherlin Volkswagen Lithia Springs,4.1,925,,,
456,Sutliff Volkswagen,4.6,649,,,
457,Swickard Volkswagen of Anchorage,4.7,722,,,
458,Team Gunther Volkswagen of Daphne,3.8,135,,,
459,Team Volkswagen,4.4,304,,,
460,Team Volkswagen of Hayward,4.3,795,,,
461,Teddy Volkswagen of the Bronx,4,1002,,,
462,Terry Volkswagen,4.4,217,,,
463,Teton Volkswagen,4.5,725,,,
464,The Dean Team of Ballwin,4.4,612,,,
465,The Dean Team of Kirkwood,3.9,492,,,
466,Thelen Volkswagen,4.4,257,,,
467,"Thompson Volkswagen, Inc.",4.3,129,,,
468,Three County Volkswagen Corp.,4.2,670,,,
469,Three Rivers Volkswagen,4.1,361,,,
470,Timmons Volkswagen of Long Beach,4,431,,,
471,Tom Bush Volkswagen,4.7,2081,,,
472,Tom Wood Volkswagen,4.4,2463,,,
473,Tom Wood Volkswagen of Noblesville,4.6,1136,,,
474,Toms River Volkswagen,4.1,702,,,
475,Tony Volkswagen,4.1,176,,,
476,Tracy Volkswagen,4.2,616,,,
477,"Tracy Volkswagen, Inc.",4.6,214,,,
478,"Trend Motors, Ltd.",4.5,986,,,
479,Twin Falls Volkswagen,4.6,638,,,
480,"Tynan's Volkswagen, Inc.",4.2,894,,,
481,University Volkswagen,4.4,565,,,
482,University Volkswagen,4.4,490,,,
483,Vacaville Volkswagen,4.4,186,,,
484,"Valenti Motors, Inc.",4.6,264,,,
485,"Valley Auto World, Inc.",4.1,454,,,
486,Van Horn Volkswagen Sheboygan,4.8,864,,,
487,Vanguard Volkswagen of North Austin,4,629,,,
488,Ventura Volkswagen,4.3,733,,,
489,Vernon Volkswagen,4.6,494,,,
490,Vic Bailey Volkswagen,4.8,1428,,,
491,Village Volkswagen of Chattanooga,4.5,733,,,
492,Vista Volkswagen,4.2,645,,,
493,Volkswagen Bakersfield,3.9,377,,,
494,Volkswagen Brandon,4.1,1206,,,
495,Volkswagen Clarksburg,4.7,100,,,
496,Volkswagen Clear Lake,4.2,2761,,,
497,Volkswagen Cypress,4.4,2146,,,
498,Volkswagen Danbury,4.4,229,,,
499,Volkswagen Eugene,4.6,532,,,
500,Volkswagen Fall River,4.7,168,,,
501,Volkswagen Fargo,5,156,,,
502,Volkswagen Fort Walton Beach,4.5,1034,,,
503,Volkswagen Jackson,4.2,259,,,
504,Volkswagen Kearny Mesa,4.5,4031,,,
505,Volkswagen Kennedy,4.4,313,,,
506,Volkswagen La Crosse,4.7,577,,,
507,Volkswagen Marin,4.8,1641,,,
508,Volkswagen Menomonee Falls,4.3,363,,,
509,Volkswagen Morgantown,3.7,145,,,
510,Volkswagen North Scottsdale,4.7,1013,,,
511,Volkswagen of Abilene,4.5,274,,,
512,Volkswagen of Akron,4.2,630,,,
513,Volkswagen of Alamo Heights,4.5,3043,,,
514,Volkswagen of Ann Arbor,4.2,227,,,
515,Volkswagen of Beaumont,4.7,1218,,,
516,Volkswagen of Bellingham,4.8,128,,,
517,Volkswagen of Bend,4.7,446,,,
518,Volkswagen of Billings,4,482,,,
519,Volkswagen of Bismarck,4.8,132,,,
520,Volkswagen of Bloomington Normal,4.5,354,,,
521,Volkswagen of Boardman,4.6,623,,,
522,Volkswagen of Bozeman,4.7,231,,,
523,Volkswagen of Clarksville,4.4,823,,,
524,Volkswagen of Clovis,4.5,411,,,
525,Volkswagen of Cool Springs,4.3,1061,,,
526,Volkswagen of Corpus Christi,4.2,942,,,
527,Volkswagen of Crystal Lake,4.5,569,,,
528,Volkswagen of Downtown Chicago,4.4,3231,,,
529,Volkswagen of Downtown LA,4.2,801,,,
530,Volkswagen of Duluth,4.3,558,,,
531,Volkswagen of Eau Claire,4.6,93,,,
532,Volkswagen of Fairfield,3.5,64,,,
533,Volkswagen of Fallston,4.3,924,,,
534,Volkswagen of Florence,4.2,156,,,
535,Volkswagen of Fort Myers,4.4,1237,,,
536,Volkswagen of Freehold,4.5,1041,,,
537,Volkswagen of Gainesville,4,564,,,
538,Volkswagen of Garden Grove,4,444,,,
539,Volkswagen of Grand Blanc,4.6,554,,,
540,Volkswagen of Hartford,4.6,222,,,
541,Volkswagen of Huntington,4.1,576,,,
542,Volkswagen of Inver Grove,4.8,1844,,,
543,Volkswagen of Kirkland,4.4,1299,,,
544,Volkswagen of Lake Charles,4.5,659,,,
545,Volkswagen of Lebanon,4.1,147,,,
546,Volkswagen of Lee's Summit,4.5,3420,,,
547,Volkswagen of Little Rock,4.6,898,,,
548,Volkswagen of Macon,4.5,1000,,,
549,Volkswagen of Manchester,4.4,830,,,
550,Volkswagen of Mandeville,4.1,326,,,
551,Volkswagen of Marietta,4.5,2216,,,
552,Volkswagen of Marion,4.8,776,,,
553,Volkswagen of Midland-Odessa,4.4,378,,,
554,Volkswagen of Milwaukee North,4.6,440,,,
